amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended 
701-0913701-6003410		2023-05-30T01:05:31+00:00	2023-05-31T13:56:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	German Alpine Bavarian Oktoberfest Brown Costume Hat with Feather (Brown)	germanhat001-brown	B012EEEHGC	1	Shipped			1	CAD	21.57		7.19						Markham	Ontario	L3T 3K7	CA		Standard	false					false
702-6554528-5069854		2023-05-30T00:16:12+00:00	2023-06-02T18:32:09+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Ripple Junction Planet Express T-Shirt (2X Large, Black)	Futurama003-XXL	B005EHIUVK	1	Shipped			1	CAD	32.28		7.19						Onoway	Alberta	T0E 1V0	CA		Standard	false					false
701-0049244-9203454		2023-05-30T00:01:11+00:00	2023-06-02T18:54:48+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Spider-Man Venom Striped Sleeves Black Mens T-Shirt (Adult Medium)	spider022BLACK-M	B008MON3N2	1	Shipped			1	CAD	20.95		44.2						Vancouver	British Columbia	V6E1Z3	CA		Standard	false					false
702-0679768-0260261		2023-05-29T23:27:49+00:00	2023-06-02T18:31:37+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	New World Red Ink Adult Black T-Shirt	nwo003-XXL	B07FK2Q72P	1	Shipped			1	CAD	35.52	2.49	7.19	0.5					Waywayseecappo	Manitoba	R0J1S0	CA		Standard	false					false
701-8709427-1400263		2023-05-29T22:37:49+00:00	2023-06-02T18:31:17+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Ripple Junction Sriracha Bottle Label Adult T-Shirt Small Red Heather	sriracha001-S	B00DUVG3RA	1	Shipped			1	CAD	32.28		44.2						Outremont	Quebec	H2V 2E8	CA		Standard	false					false
702-2399378-0657054		2023-05-29T22:32:07+00:00	2023-06-02T18:31:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	German Alpine Bavarian Oktoberfest Grey Costume Hat with Feather (Grey)	germanhat001-grey	B012EEENJS	1	Shipped			1	CAD	21.57		7.19						Calgary	Alberta	T3H 5H3	CA		Standard	false					false
701-2889588-4385858		2023-05-29T22:22:34+00:00	2023-06-02T18:30:50+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (XXX-Large)	sein034-3XL	B01GOUAO9Q	1	Shipped			1	CAD	29.04		7.19						Toronto	ON	M5A 4P7	CA		Standard	false					false
701-1713138-2108266		2023-05-29T22:14:41+00:00	2023-06-02T18:25:47+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	WWE Stone Cold Steve Austin 3:16 Smoking Skull Costume Leather Vest (Adult Large)	wwe111-L	B015TMM3DU	1	Shipped			1	CAD	57.99		7.19						Oshawa	Ontario	L1K 1L8	CA		Standard	false					false
701-6882210-6085831		2023-05-29T21:00:33+00:00	2023-06-02T18:24:03+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	STAR WARS Return of The Jedi Last Battle Yoda Black Adult T-Shirt Tee (XX-Large)	starwars017-XXL	B004XDMMJC	1	Shipped			1	CAD	37.13		7.19						Longueuil	QC	J4H 3E4	CA		Standard	false					false
702-2694391-9679428		2023-05-29T20:26:10+00:00	2023-06-02T18:23:52+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Adventure Time Finn Chara Hat	adventuretimehat001-Finn	B005H3BT46	1	Shipped			1	CAD	33.89		7.19						London	Ontario	N5W 2G5	CA		Standard	false					false
702-4621115-3640224		2023-05-29T19:56:39+00:00	2023-06-02T18:23:41+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Seinfeld #1 Dad Light Blue Mens T-shirt (Adult Large)	sein034-L	B0085N9EL0	1	Shipped			1	CAD	21.68		7.19						Calgary	Alberta	T3M 2Z1	CA		Standard	false					false
701-4718960-9438658		2023-05-29T19:27:39+00:00	2023-06-02T18:23:31+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Married With Children No Maam Al Bundy T-Shirt | L	albundy002-L	B000EWK90K	1	Shipped			1	CAD	32.28		7.19						Burlington	Ontario	L7N 2E2	CA		Standard	false					false
702-7456305-3245024		2023-05-29T17:43:33+00:00	2023-06-02T18:23:21+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Superhero Gotham Black Costume Boots (Medium 10-11)	100578BLACK-M	B01LBRL9EG	1	Shipped			1	CAD	125.55		7.19						Williamsburg	Ontario	K0C 2H0	CA		Standard	false					false
702-4250104-7373067		2023-05-29T17:35:46+00:00	2023-05-29T17:42:14+00:00	Cancelled	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Crew Mate Astronaut Among Space Halloween Costume Inflatable Chub Suit	220859-CrewMate-Red-STD	B09FJ2Y36Z	1				0										Toronto	ON	M6B 1M5	CA		Standard	false					false
